"gender","type","year","y","wr"
"men","100m breaststroke LCM",2001,1.66833500166834,1.75808720112518
"men","100m breaststroke LCM",2002,1.65864985901476,1.75808720112518
"men","100m breaststroke LCM",2003,1.67280026764804,1.75808720112518
"men","100m breaststroke LCM",2004,1.68634064080944,1.75808720112518
"men","100m breaststroke LCM",2005,1.68435236651508,1.75808720112518
"men","100m breaststroke LCM",2006,1.69118890580078,1.75808720112518
"men","100m breaststroke LCM",2007,1.67224080267559,1.75808720112518
"men","100m breaststroke LCM",2008,1.69750466813784,1.75808720112518
"men","100m breaststroke LCM",2009,1.70706725844998,1.75808720112518
"men","100m breaststroke LCM",2010,1.69376693766938,1.75808720112518
"men","100m breaststroke LCM",2011,1.70328734457503,1.75808720112518
"men","100m breaststroke LCM",2012,1.7105713308245,1.75808720112518
"men","100m breaststroke LCM",2013,1.70096955264501,1.75808720112518
"men","100m breaststroke LCM",2014,1.70415814587594,1.75808720112518
"men","100m breaststroke LCM",2015,1.72651933701657,1.75808720112518
"men","100m breaststroke LCM",2016,1.75039383861369,1.75808720112518
"men","100m breaststroke LCM",2017,1.74003828084218,1.75808720112518
"men","100m breaststroke LCM",2018,1.75131348511384,1.75808720112518
"men","100m breaststroke LCM",2019,1.75808720112518,1.75808720112518
"men","100m breaststroke LCM",2020,1.72028212626871,1.75808720112518
"men","100m breaststroke LCM",2021,1.74307129161583,1.75808720112518
"men","100m breaststroke LCM",2022,1.7164435290079,1.75808720112518
"men","100m breaststroke LCM",2023,1.73340266944011,1.75808720112518
"men","100m breaststroke LCM",2024,1.72592336900242,1.75808720112518
"men","100m breaststroke SCM",2000,1.73430454387791,1.80897250361794
"men","100m breaststroke SCM",2001,1.70735871606625,1.80897250361794
"men","100m breaststroke SCM",2002,1.74003828084218,1.80897250361794
"men","100m breaststroke SCM",2003,1.72532781228433,1.80897250361794
"men","100m breaststroke SCM",2004,1.72532781228433,1.80897250361794
"men","100m breaststroke SCM",2005,1.72592336900242,1.80897250361794
